region,comunas,P1,P2,P3,EJH,ICE,CPF,EST,PM,PI,Tramo 40,SA,AR,PO,OCP,IDC,HM
nuble,Pinto,0.23,0.05,0.72,8.4,-0.560,0.1263,0.7800,0.3713,0.2506,0.6944,0.3796,0.4959,0.0183,0.2834,0.2935,0.0738
nuble,Quillón ,0.27,0.1,0.63,8.4,0.000,0.5390,0.7300,0.3066,0.1666,0.6697,0.3647,0.4039,0.0184,0.5925,0.2995,0.0806
nuble,San Ignacio ,0.43,0.03,0.54,7.6,-0.710,0.2426,0.7200,0.3280,0.2487,0.7243,0.3685,0.5770,0.0143,0.5917,0.2599,0.0662
nuble,Yungay,0.13,0.19,0.68,9.1,-0.290,0.5159,0.7700,0.1989,0.1938,0.5897,0.1644,0.2521,0.0146,0.4567,0.3644,0.0792
biobio,Alto Biobio,0.25,0.04,0.71,6.5,-0.980,0.0104,0.8500,0.6073,0.3972,0.7871,0.0084,1.0000,0.7985,0.2770,0.1584,0.1018
biobio,Antuco,0.13,0.05,0.82,8.5,-0.860,0.0203,0.7400,0.1979,0.2876,0.6319,0.0077,0.4901,0.0264,0.2867,0.2710,0.0622
biobio,Arauco,0.18,0.11,0.71,9.3,-0.100,0.5944,0.7900,0.1840,0.1593,0.5495,0.0763,0.2465,0.1378,0.3522,0.4384,0.0854
biobio,Cabrero,0.1,0.18,0.72,8.8,0.000,0.7713,0.7300,0.1410,0.1120,0.5847,0.1407,0.2453,0.0304,0.6101,0.4074,0.0755
biobio,Cañete,0.17,0.06,0.77,8.8,0.050,0.4017,0.8300,0.2006,0.1580,0.6748,0.0317,0.4356,0.3661,0.3458,0.3820,0.0900
biobio,Chiguayante,0.01,0.08,0.91,11.5,0.660,0.3215,0.7100,0.1265,0.0875,0.5319,0.0008,0.0009,0.0383,0.4075,0.5295,0.0849
biobio,Concepcion,0.01,0.07,0.92,12.5,2.880,0.6642,0.6800,0.1343,0.0770,0.4894,0.0045,0.0202,0.0432,0.4180,0.6400,0.0654
biobio,Contulmo,0.19,0.04,0.77,8.3,-0.910,0.5749,0.7700,0.2997,0.2422,0.6923,0.0084,0.4925,0.1968,0.3597,0.2581,0.1131
biobio,Coronel,0.06,0.1,0.84,10.2,0.470,0.5977,0.6900,0.1455,0.1136,0.5263,0.0244,0.0274,0.0518,0.3880,0.5040,0.0954
biobio,Curanilaue,0.09,0.1,0.81,8.8,-0.290,0.7078,0.7900,0.1205,0.1230,0.5356,0.0033,0.0655,0.0962,0.2767,0.4467,0.1191
biobio,Florida,0.21,0.07,0.72,7.9,-0.470,0.7301,0.7300,0.3783,0.1587,0.6567,0.0524,0.5708,0.0167,0.4496,0.2509,0.0735
biobio,Hualpen,0.02,0.1,0.88,11.1,0.340,0.2066,0.7000,0.1095,0.1053,0.5090,0.0021,0.0086,0.0338,0.4096,0.4481,0.0901
biobio,Hualqui,0.09,0.07,0.84,9.2,-0.710,0.6965,0.6600,0.2215,0.1291,0.6125,0.0105,0.1415,0.0438,0.4788,0.4035,0.1085
biobio,Laja,0.09,0.16,0.75,8.9,-0.520,0.5910,0.7600,0.2509,0.1935,0.5542,0.0213,0.2754,0.0329,0.5963,0.3488,0.1006
biobio,Lebu,0.27,0.04,0.69,8.8,-0.200,0.6191,0.8100,0.3224,0.1325,0.6327,0.0072,0.0801,0.2723,0.3582,0.4244,0.1137
biobio,Los Alamos,0.14,0.07,0.79,8.5,-0.370,0.4992,0.7800,0.2665,0.1609,0.6300,0.0324,0.1098,0.2189,0.3192,0.3924,0.1118
biobio,Los Angeles,0.09,0.1,0.81,10.4,1.750,0.5109,0.7700,0.1613,0.1742,0.5347,0.0049,0.2533,0.0402,0.5803,0.4698,0.0888
biobio,Lota,0.05,0.1,0.85,9,-0.320,0.6453,0.6400,0.1962,0.1813,0.5337,0.0024,0.0025,0.0592,0.3289,0.4446,0.1262
biobio,Mulchen,0.24,0.08,0.68,8.4,-0.270,0.5130,0.7400,0.2438,0.1480,0.6171,0.0150,0.1849,0.0869,0.3682,0.3789,0.1020
biobio,Nacimiento,0.12,0.17,0.71,8.9,-0.120,0.5838,0.7300,0.2573,0.1735,0.5414,0.0132,0.1248,0.0423,0.4429,0.4133,0.0959
biobio,Negrete,0.27,0.11,0.62,8,-0.710,0.2918,0.7500,0.2291,0.1787,0.6096,0.0576,0.3781,0.0312,0.5957,0.2848,0.0706
biobio,Penco,0.03,0.09,0.88,10.1,-0.050,0.8043,0.6800,0.1826,0.0859,0.5572,0.0026,0.0099,0.0644,0.4100,0.4527,0.1035
biobio,Quilaco,0.22,0.03,0.75,8.2,-1.010,0.1893,0.7500,0.2759,0.2112,0.6842,0.0297,0.5311,0.0426,0.2483,0.2847,0.0503
biobio,Quilleco,0.24,0.06,0.7,7.8,-0.640,0.5145,0.7000,0.2558,0.1605,0.6324,0.0240,0.4173,0.0158,0.4017,0.2506,0.0791
biobio,San Pedro De La Paz,0.02,0.08,0.9,12.1,0.960,0.5391,0.7600,0.1588,0.1217,0.4971,0.0028,0.0009,0.0622,0.3892,0.5493,0.0759
biobio,San Rosendo,0.11,0.08,0.81,8.8,-1.030,0.6403,0.7800,0.1790,0.2080,0.5769,0.0572,0.1480,0.0178,0.5840,0.5004,0.0608
biobio,Santa Barbara,0.18,0.06,0.76,8.4,-0.320,0.3736,0.7200,0.2444,0.1639,0.6368,0.0274,0.4202,0.1020,0.3126,0.3481,0.0989
biobio,Santa Juana,0.2,0.05,0.75,8.1,-0.610,0.7233,0.7100,0.2973,0.1548,0.6443,0.0200,0.3022,0.0270,0.4423,0.2798,0.0883
biobio,Talcahuano,0.31,0.3,0.66,7.7,1.030,0.4125,0.7500,0.1665,0.0791,0.4839,0.0022,0.0094,0.0419,0.4122,0.5896,0.0782
biobio,Tirua,0.31,0.03,0.66,7.7,-0.660,0.5161,0.7500,0.3488,0.2608,0.7377,0.0274,0.6412,0.5870,0.3193,0.2275,0.0949
biobio,Tome,0.07,0.06,0.87,9.9,0.170,0.8204,0.7100,0.2171,0.0727,0.5845,0.0271,0.0984,0.0156,0.4066,0.4404,0.0837
biobio,Tucapel,0.16,0.11,0.73,8.9,-0.930,0.3104,0.7600,0.1937,0.1577,0.6174,0.0069,0.1590,0.0217,0.3390,0.3706,0.0923
biobio,Yumbel,0.19,0.1,0.71,8.4,-0.390,0.5169,0.7400,0.2469,0.2103,0.6499,0.0238,0.4004,0.0243,0.5691,0.3116,0.0829
araucania,Angol,0.15,0.07,0.78,9.8,0.470,0.4725,0.8100,0.2127,0.1556,0.5717,0.0717,0.0817,0.0907,0.3919,0.4471,0.0923
araucania,Collipulli,0.21,0.08,0.71,8.2,-0.470,0.5853,0.7800,0.3656,0.2403,0.6391,0.1967,0.2545,0.2272,0.3125,0.3730,0.0940
araucania,Lumaco,0.33,0.06,0.61,6.8,-0.740,0.6591,0.8000,0.4721,0.3332,0.7163,0.4763,0.5776,0.3873,0.4044,0.2152,0.1204
araucania,Lonquimay,0.19,0.04,0.77,7.6,-0.490,0.0015,0.8500,0.5493,0.3348,0.7748,0.5589,0.6306,0.5676,0.2924,0.2053,0.0937
araucania,Toltén,0.36,0.04,0.6,7.8,-0.740,0.4104,0.7600,0.4638,0.3511,0.7614,0.4604,0.6021,0.3952,0.2953,0.2266,0.0955
araucania,Los Sauces,0.42,0.04,0.54,7.4,-0.660,0.5403,0.8100,0.3733,0.2408,0.6944,0.3605,0.3919,0.2826,0.4760,0.2475,0.0891
araucania,Carahue,0.3,0.04,0.66,7.6,-0.020,0.3742,0.7300,0.5138,0.2440,0.7731,0.3129,0.4598,0.3681,0.3374,0.2662,0.1095
araucania,Victoria,0.15,0.07,0.78,9.3,0.050,0.3912,0.7600,0.3262,0.2250,0.5980,0.2001,0.2728,0.2619,0.3631,0.4191,0.1019
araucania,Loncoche,0.18,0.11,0.71,8.7,-0.270,0.3024,0.7100,0.3108,0.3021,0.6863,0.2376,0.2973,0.2883,0.2729,0.3187,0.0957
araucania,Curacautín,0.15,0.08,0.77,8.9,0.150,0.0695,0.7700,0.2598,0.1421,0.6781,0.1770,0.2627,0.1066,0.1751,0.3222,0.0747
araucania,Cunco,0.25,0.05,0.7,8.3,-0.540,0.1238,0.7400,0.3419,0.1965,0.7252,0.3281,0.4952,0.2263,0.2267,0.2612,0.1007
araucania,Lautaro,0.12,0.11,0.77,9.4,-0.120,0.2998,0.7200,0.2213,0.1680,0.6114,0.2376,0.2813,0.1911,0.3693,0.3746,0.1066
araucania,Ercilla,0.32,0.03,0.65,7.7,-0.980,0.5694,0.7600,0.4728,0.2669,0.7390,0.4451,0.5293,0.5946,0.3935,0.2115,0.1202
araucania,Galvarino,0.3,0.06,0.64,7.1,-0.880,0.5155,0.7200,0.5444,0.3729,0.7794,0.6214,0.6541,0.6347,0.4673,0.1928,0.1377
araucania,Purén,0.22,0.05,0.73,8.1,-0.470,0.3865,0.7900,0.4011,0.1770,0.7372,0.2292,0.3605,0.2632,0.4364,0.2863,0.1012
araucania,Traiguén,0.22,0.05,0.73,8.5,-0.470,0.4480,0.8000,0.3229,0.2127,0.6767,0.2059,0.2384,0.2885,0.4718,0.3502,0.0892
araucania,Cholchol,0.31,0.04,0.65,7.5,-0.540,0.3636,0.7200,0.5417,0.4160,0.7817,0.4263,0.6248,0.7072,0.4441,0.1851,0.1065
araucania,Vilcún,0.23,0.06,0.71,9,-0.440,0.1283,0.7000,0.4359,0.1251,0.6650,0.3146,0.4522,0.3352,0.2786,0.2633,0.1039
araucania,Pucón,0.05,0.06,0.89,10.5,0.300,0.0160,0.8100,0.2756,0.0891,0.6351,0.3050,0.3565,0.2521,0.1425,0.4059,0.0844
araucania,Pitrufquén,0.18,0.07,0.75,9.2,0.050,0.1449,0.7200,0.2809,0.1064,0.6533,0.2125,0.3344,0.3261,0.3380,0.3488,0.0915
araucania,Nueva Imperial,0.18,0.07,0.75,8.6,-0.120,0.2376,0.6700,0.4355,0.1988,0.7048,0.2650,0.4192,0.5243,0.4006,0.3110,0.1213
araucania,Temuco,0.02,0.07,0.91,11.9,2.240,0.2827,0.7000,0.1651,0.1037,0.5404,0.0540,0.0682,0.2034,0.4302,0.5953,0.0851
araucania,Curarrehue,0.19,0.06,0.75,7.8,-1.130,0.0042,0.8200,0.5411,0.2285,0.7486,0.6466,0.6961,0.4586,0.1451,0.2207,0.0803
araucania,Renaico,0.33,0.08,0.59,8.4,-0.610,0.5065,0.7400,0.2220,0.1858,0.6108,0.1382,0.1852,0.0807,0.5480,0.3108,0.0956
araucania,Teodoro Schmidt,0.47,0.04,0.49,7.4,-0.520,0.1250,0.7500,0.3581,0.2746,0.8108,0.4603,0.6409,0.4671,0.3575,0.2270,0.1162
araucania,Gorbea,0.24,0.1,0.66,8.8,-0.540,0.3250,0.7000,0.3023,0.1130,0.6783,0.2616,0.2951,0.1706,0.3161,0.3341,0.0854
araucania,Villarrica,0.08,0.09,0.83,10.1,0.910,0.0763,0.7900,0.2753,0.3197,0.6333,0.2798,0.3424,0.2574,0.1788,0.4113,0.0958
araucania,Melipeuco,0.22,0.06,0.72,8.2,-0.930,0.0454,0.8000,0.4064,0.2571,0.7275,0.4066,0.5427,0.4526,0.2199,0.2127,0.1019
araucania,Padre Las Casas,0.09,0.08,0.83,9.5,0.270,0.1123,0.6700,0.3616,0.1962,0.6384,0.2836,0.4031,0.4544,0.4200,0.3152,0.1134
araucania,Freire,0.34,0.06,0.6,8.1,-0.560,0.0592,0.7100,0.3414,0.2402,0.6892,0.5020,0.6795,0.5129,0.3760,0.2511,0.1150
araucania,Saavedra,0.37,0.04,0.59,7.2,-0.660,0.0592,0.8200,0.5423,0.3538,0.8202,0.6375,0.7808,0.7876,0.3691,0.1764,0.0863
araucania,Perquenco,0.29,0.11,0.6,8.2,-0.840,0.2024,0.7000,0.3365,0.2193,0.6968,0.4839,0.4064,0.4482,0.2739,0.2739,0.1367
